Candidate;Description;BlockTime;retweet_favorite_count;RunningFor
Henrique Meirelles;@JoseCRAndrade Meirelles não vai desistir! Seu histórico comprova que, além de ficha limpa, ele sempre trabalhou para o Brasil, e quer continuar fazendo isso. Confira aqui sua história e as diferenças com outros candidatos: https://t.co/z6RHxpK5zy. #ChamaOMeirelles #EquipeHM #Meirelles15;2018/09/11 13:09:49;;123
Henrique Meirelles;@guilhermem740 @gui_mangieri Chama que é muito melhor! #ChamaOMeirelles15 #EquipeHM #VoteMeirelles15;2018/09/18 14:01:36;;123
João Amoêdo;"Útil é votar em quem te representa de verdade e vai fazer as mudanças que o Brasil tanto precisa. Vote sem medo. Vote 30. Vote João Amoêdo. Muito obrigado pelo apoio, Marcus. 
#EuVotonoJoão30 https://t.co/pmHtCNZqxk";2018/10/03 15:10:51;;123
Geraldo Alckmin;Não queremos a tragédia de um 2º turno entre dois radicais. Nós vamos ao segundo turno e vencemos tanto Bolsonaro quanto o PT do Haddad. Os brasileiros já têm problemas demais. Não podemos ter um presidente que seja mais um problema. Quero ser presidente para trazer soluções!;2018/10/05 18:43:56;;123
Henrique Meirelles;@JPaulo645 @GuilhermeBoulos Obrigado, João. O Meirelles não foge nem dos debates e nem do trabalho. É por isso que ele é candidato. 💪1⃣5⃣  #VoteMeirelles15 #EquipeHM;2018/10/01 00:02:04;;123
NOVO 30;A lei é igual para todos. Vamos usar todos nossos esforços para que a população tenha um ambiente de segurança e transparência para decidir seu voto. https://t.co/A6JGGmb4G0;2018/09/01 20:27:46;;123
Márcio Pacheco;"CONVÊNIOS DA FIA SÃO ASSUNTO DE NOVA AUDIÊNCIA: 
https://t.co/Z6jv4DnQeD #Alerj #FIA #PcD";2016/04/13 13:25:44;;7
Samuel Malafaia;"Prefeitura do Rio terá menos agentes para fiscalizar os mijões no carnaval

http://t.co/27fAzykJBN http://t.co/v8BrZIWlv4";2015/02/12 18:14:02;;7
Eduardo Lopes;#NoticiaPRB PRB amplia presença no legislativo e elege vereadores em 22 capitais brasileiras: Co... https://t.co/9X8lR7fhwe via @prb10rj;2016/10/03 05:31:45;;7
Arolde de Oliveira;Os defensores do que está aí, essas desgraceiras que devastaram o país, não aceitam @jairbolsonaro porque ele é honesto, independente, humilde, patriota e está preparado para recolocar o Brasil nos trilhos. RT @ATricolinda: @CarlosBolsonaro Estão se borrando, isso sim!;2017/12/26 22:53:11;;7
Pedro Paulo;Tá no Ancelmo! O primeiro trem do VLT já está a caminho do #RJ. #VLT #CidadeOlímpica #Rio2016 http://t.co/kvBhkb2Z6D;2015/06/02 15:42:47;;7
Caio;"Minha entrevista para a TV-Búzios na Bienal do Livro/RJ 

https://t.co/Jl8lFaAzLM https://t.co/XoLoNXUfMC";2017/09/08 14:31:09;;7
Waldeck Carneiro;O Jornal Atual https://t.co/hw81U805uh;2017/12/01 02:09:55;;7
Abelardinho;SÃO OS VOTOS DO SOLIDARIEDADE ITAGUAÍ, representado pelo Presidente Municipal do partido, o vereador Abelardinho... http://t.co/BEV96fPRLn;2013/12/24 22:00:02;;7
Gustavo Tutuca;Os endereços dos meus comitês estão disponíveis em www.gustavotutuca.com.br;2010/07/22 16:19:51;;7
André Corrêa;Sabe aquela história que a Suécia é o “socialismo que deu certo”? Então, é mentira. https://t.co/7i3nog76H4;2017/09/17 21:08:47;;7
Gustavo Tutuca;Hoje é o último dia de inscrições do #VestibularCederj 2016. Ainda dá tempo de se inscrever e começar 2016... https://t.co/DBiWh7pmvx;2015/11/21 19:33:38;;7
Arolde de Oliveira;RT @CarlosBolsonaro: Relembrar a formação de @jairbolsonaro é sempre ... https://t.co/xjRsJoQFpf;2018/01/16 12:27:53;;7
Alair Corrêa;http://t.co/RKdyAQexuP;2014/09/13 21:38:37;;7
AndersonDerson Silva;https://t.co/n3LMXFrxpf;2018/01/05 12:18:11;;7
Rodrigo Maia;rodrigomaia.com.br – VOTE - Para novas regras para o (FGTS) em financiamentos da casa própria -  http://migre.me/10wxX;2010/07/28 14:58:05;;7
Talíria Petrone;"Tá chegando 😍💜

Aqui no Rio já temos a primeira reunião para organizar o 8 de Março: dia 30, às 18h, na Camtra.... https://t.co/0BfNH92vND";2018/01/10 12:57:18;;7
Chico D'Angelo;Vitória: após decisão do STF, Petrobras suspende venda de ativos https://t.co/55kW3fkCIh;2018/07/03 21:13:25;;7
Marcelo Calero;É a decisão da impunidade, da vergonha, do retrocesso. A oligarquia política celebra. STF desarmando todas as garantias contra corrupção. https://t.co/TenSqO2Cj5;2017/10/12 00:26:49;;7
Jandira Feghali;#LULALIVRE maravilhoso aqui na Feira de São Cristóvão! https://t.co/WE8M0fNSXz;2018/07/29 17:54:55;;7
Flavio Serafini;Flavio Serafini reivindica agenda propositiva de audiências públicas na ALERJ contra os ataques do Governo Pezão à educação pública. Confira aqui: https://t.co/xafyteWWwZ;2018/02/07 17:51:38;;7
David Miranda;A cara da velha política. Isso é nepotismo. https://t.co/h1Xn60PYdT;2017/02/02 12:26:46;;7
André Corrêa;@InspetorPM @ClvClaudio Triste vocês não desejarem o diálogo.;2016/02/11 16:48:15;;7
Sgt Gurgel Soares;Uma maldade dessas devia ter prisão perpétua. https://t.co/pJUVDAuC0P;2015/11/12 13:45:53;;7
buiu saquarema;@saquarema_ga HJ TEM FESTA DO LADO DA PREFEITORA D #SAQUAREMA_GA VEMNHA CONFERIR;2011/08/19 16:03:10;;7
Aspásia Camargo;Rio +20: 2º Fórum de Des. Sustentável dos engenheiros e agrônomos. A engenharia  deve estar a serviço da viabilização das metas sustentáveis;2013/03/25 13:24:30;;7
Marcelo Freixo;Bom dia, outubro! Mês das eleições. Faltam 6 dias para confirmar o 5050 nas urnas. Converse com seus amigos que ainda não sabem em quem votar e diga que agora sou candidato a deputado federal. #Freixo5050 #AgoraeÉFederal;2018/10/01 11:03:18;;7
Hugo Leal;Em Cabo Frio, fui recebido pela suplente de vereadora Dra Rafaela Faria e tive a oportunidade de fazer uma prestação de contas do mandato parlamentar: das verbas federais  garantidas através de emendas às iniciativas nas áreas de trânsito, saúde e segurança pública. https://t.co/3xfJTHe4DZ;2018/07/15 16:09:30;;7
Flavio Bolsonaro;"Sobre a morte de Teori, no que é mais difícil acreditar? Na teoria da conspiração ou na teoria da ""foi só coincidência mesmo""?";2017/01/20 12:47:11;;7
Clarissa Garotinho;@ImoveisAlmeida É verdade, Almeida! Mas vai melhorar! Rs!;2013/10/21 14:50:02;;7
Daniela do Waguinho;O estudo “O Mundo das Mulheres”, de 2015, revelou que nós trabalhamos tanto quanto os homens. Então, por que ganhamos menos do que eles? Lutar pela igualdade entre homens e mulheres no mercado de trabalho é também é uma das minhas lutas. https://t.co/QUiJVBp1lv;2018/10/03 13:25:54;;7
Clarissa Garotinho;"""Mas independente de quem seja o próximo presidente, o próximo governador do Rio vai precisar dialogar p/ que a população seja beneficiada""";2013/10/22 22:51:33;;7
Alair Corrêa;DIPLOMAÇÃO http://t.co/b3jIGvGV;2012/12/10 21:11:19;;7
Marcelo Calero;"Imprescindível leitura para aqueles q defendem Temer como um ""mal menor"". Não se relativiza corrupção! Ela é a fonte de todos os males! https://t.co/jFQBbus310";2017/10/18 13:11:22;;7
Benedita da Silva;A imprensa golpista brasileira censura o Papa Francisco ao NÃO divulgar q a Rep. de Curitiba proibiu q um assessor do maior líder mundial entregasse uma mensagem e presente do Papa a Lula. Essa é a Casa Grande c/o seu ódio, cinismo e desrespeito. Charge do querido @DanielPxeira https://t.co/hA7UjBhp9T;2018/06/12 14:05:51;;7
malta junior;@PrSilasFilho Bom dia Pr. Obrigado pela sua presença nos Arrebatados. Foi muito legal!rsrsrrs Paz!;2011/06/27 13:01:32;;7
Glauber Braga;Tarde em Petrópolis junto com o PSOL. Em momentos difíceis, nada melhor do que buscar energias com pessoas especiais. Glauber e Chico Alencar levaram um abraço ao companheiro Yuri que faz aniversário e reforçar o quanto precisamos estar juntos. #EquipeDeComunicaçãoGlauber https://t.co/lcNNvdhWRg;2018/03/24 21:43:00;;7
Rosenverg Reis;"Promessa encontrada em Salmos 23:4 
http://t.co/uUzsMW7Bsc http://t.co/ikDJ1r6zx3";2015/02/06 01:26:49;;7
Sgt Gurgel Soares;https://t.co/qjqhURLbxZ;2016/02/23 13:13:52;;7
malta junior;BOMBA! ESPOSA PR. @PMarcosPereira,RESOLVE FALAR TODA A VERDADE!!!! VIDEO http://t.co/uauVcQTaGc;2013/05/12 13:47:58;;7
Benedita da Silva;O ato hoje em Copacabana pelas DIRETAS JÁ foi lindo. Mais um passo importante rumo ao reencontro com a democracia. https://t.co/jrho3iXtdI;2017/05/29 03:56:47;;7
Hugo Leal;Com vereadores Soraia Balieiro e Reginaldo Engenheiro Passos, do PSB de Resende:emendas e projetos nas áreas de saúde e assistência social https://t.co/Djx1tvXSJb;2017/02/06 21:00:21;;7
Marcelo Freixo;#AoVivo: Ato luto pelo Museu Nacional. https://t.co/qLt465AEMG;2018/09/03 21:31:39;;7
Waldeck Carneiro;O site Base de Notícias também publicou matéria sobre o PL 1.486/2016, de que sou o autor, que tem como objetivo... https://t.co/FMai1YX0ss;2016/06/29 21:45:58;;7
Alessandro Molon;@cl_santos @camaradeputados @RosieDaSerenata Carlson, td bem? Este é o aluguel+condomínio da sala q abriga o mandato no Rio. A cota parlamentar prevê q os deputados tenham um local físico em seu estado d origem para atender à população. É lá q trabalha nossa equipe tb. Esperamos ter ajudado a esclarecer. Abs da #EquipeMolon;2017/11/08 19:08:05;;7
malta junior;@GlauciaRochas Hummm Olhai ai hein. Terrra!! Revela logo esse pecado!rsrsrsr;2011/06/05 04:24:58;;7
Rosangela Gomes;bpinaldo obrigada pela força. O programa hoje foi um sucesso. #plantãodafé http://t.co/t5N1YcapPv;2014/04/02 19:29:18;;7
Cyro Garcia - PSTU;Amanhã às 10:00 da manhã tenho um debate com os candidatos a governador na Unirio.;2010/08/29 21:41:22;;7
Flavio Serafini;É hoje a audiência sobre o acervo da polícia civil apreendido em terreiros e casas do Candomblé e Umbanda. Queremos reparação histórica!;2017/09/19 11:13:27;;7
Alair Corrêa;@sandra_bullock8 Feliz Natal e um Próspero Ano Novo!!! http://t.co/mXGIAvOm;2011/12/25 03:53:59;;7
Márcio Pacheco;Um esforço contínuo para defender a vida de crianças e jovens em situação de risco. https://t.co/tH6TT8y12x https://t.co/ieLp5LsNk8;2015/12/30 22:22:41;;7
Flordelis;"Itaboraí também quer dar a volta por cima; Itaboraí quer Flordelis 5593 para Deputada Federal! E saiba, eu serei  a sua voz no Congresso Nacional. Vote #Flordelis5593 #DeputadaFederal https://t.co/jfrO6CYzko";2018/09/22 12:50:09;;7
Márcio CaneLLa;Eu, Deputado Estadual Márcio Canella, estive agora prestando contas do mandato, acompanhado da Primeira-dama Daniela do Waguinho, do Pastor Reinaldo, do amigo Fabinho GBox e demais moradores do Parque Amorim. https://t.co/5ZLqmtb8M2;2018/08/07 00:23:36;;7
Hugo Leal;"Deputados do Rio pediram ao procurador-geral da República, Rodrigo Janot ,a intervenção federal no Rio
Veja: https://t.co/4J03nODn6Z";2017/05/31 19:01:26;;7
Rosenverg Reis;Hoje recebemos os medalhista #paralímpicos de #Toronto para um bela homenagem. Obrigado por representarem o #Brasil! http://t.co/ZftuWg2IJI;2015/09/03 18:33:47;;7
Eduardo Lopes;#NoticiaPRB PRB elege dois vereadores em Porto Alegre: O vereador reeleito e presidente municipa... https://t.co/C9X9xSBUqw via @prb10rj;2016/10/09 14:49:30;;7
Altineu Côrtes;"Obrigado por curtir a nossa página meu amigo!
#VAMOSCAMINHARJUNTOS http://t.co/ZOctZSUxnB";2014/06/02 13:34:04;;7
AndersonDerson Silva;https://t.co/c1DM8l902O;2018/06/26 15:34:49;;7
Waldeck Carneiro;"Em Brasília, com o autor Vangi Souza e o ilustrador Daniel Azulay, criadores da cartilha ""Juntos,… http://t.co/al9ottsY54";2014/10/29 20:38:11;;7
Alessandro Molon;Já apresentamos um pedido para que este absurdo seja retirado de pauta. Queremos regras mais eficientes! #ChameMolon;2017/05/31 13:47:14;;7
Aspásia Camargo;@MarcoAureliogdo Excelente reflexao.;2013/01/26 14:28:31;;7
Chiquinho Mangueira;O futuro do maracanã foi o tema da reunião, presidida por mim, da comissão de esportes da @alerj https://t.co/ShwaNMJsaN https://t.co/FYnMXyar18;2017/04/28 13:24:53;;7
Marcelo Calero;"@freire_roberto @ghcruz28 Deputado, respeite uma opinião diferente da sua. ""Inconstitucionalidade"" do STF não existe, pois ele define o que eh constitucional.";2017/09/28 03:06:27;;7
Arolde de Oliveira;"#VOTE SENADOR 555
Sou a favor da flexibilização do Estatuto do Desarmamento, pois cada cidadão pode ter o direito de se defender.
#senador555 #pelavida #pelafamilia #unidospeloamor #eleicoes2018 #bolsonaro17 https://t.co/5iDbIvTbRj";2018/09/18 20:45:39;;7
Chiquinho Mangueira;"Hoje o Vasco da Gama comemora 94 anos do ato contra o racismo conhecido como ""Resposta Histórica"". Parabéns! Sou um defensor desta causa e entendo que a luta contra o racismo é um dever! Não somente no esporte, mas em todas as esferas da sociedade. #RespostaHistorica https://t.co/ugAvIVvCyA";2018/04/07 18:03:46;;7
Eduardo Lopes;"Sabemos das dificuldades dos municípios e estamos trabalhando para que a retomem o crescimento. Sempre com você!

#SenadorEduardoLopes #SenadorDoRio https://t.co/L8SUpjoukC";2017/12/03 11:20:41;;7
Pedro Fernandes;Um excelente dia a todos!;2012/05/22 14:32:40;;7
Rosenverg Reis;Bom dia amigos e amigas! Vamos confiar que esta quarta será um dia de renovaçã... https://t.co/9o3Ek49625 https://t.co/NBNcA3OtA3;2017/01/11 11:01:39;;7
Rodrigo Cosenza;#georgidimitrov #psol #psolrj #psolteresópolis #trabalhadores #proletários #socialismo #comunismo #rodrigocosenza em Teresópolis/RJ https://t.co/b37w4emHf7;2018/08/11 09:22:06;;7
AndersonDerson Silva;https://t.co/jJjcDRFUyk;2016/08/04 23:27:07;;7
Wagner Montes;OPORTUNIDADE: LinkedIn inaugura plataforma online de cursos no Brasil https://t.co/LoPSlVoRtm;2018/08/17 18:08:55;;7
Marcelo Calero;Agora, às 19 horas, live no Facebook! 🎥 Vou falar da campanha e dos meus compromissos para o Estado do Rio. Conto com sua participação! Vem comigo! https://t.co/JbE09l9EdH;2018/09/20 21:16:59;;7
Martha Rocha;https://t.co/KWU5WUpegj;2017/05/04 18:54:11;;7
REGINA TOSTA;https://t.co/Zn56GPOROU;2015/12/30 01:01:41;;7
Clarissa Garotinho;Estou participando agora da reunião de organização da Passeata em Defesa dos Royalties do Petróleo! #VetaDilma;2012/11/22 19:58:29;;7
Alair Corrêa;CABO FRIO É ESPORTE: ADDP(Cabo Frio) como mostra a foto vai por aqui vencendo o São Paulo e no intervalo... http://t.co/Go7N5dZVuR;2014/08/26 23:50:48;;7
Chico D'Angelo;"""Eu sou contra o Exército colocando os jovens contra o paredão, como se fossem bandidos... muitos são trabalhadores. [...] Interferência militar não é solução, porque o problema já vem de longe"".

A história se repetindo como farsa e a sabedoria de Brizola sempre fazendo falta. https://t.co/l1MYdr3u9T";2018/02/25 22:52:42;;7
Marcelo Freixo;@luc4sgL não é isso não. Quero que o Liverpool tenha a chance da revanche com o Mengão no mundial. Beleza?;2018/05/26 19:48:18;;7
Chiquinho Mangueira;Agradeço ao Santa Mônica Centro Educacional por sempre acreditar nos projetos e ações da Mangueira. Esta vitória é nossa! #JogosEscolares;2016/09/30 01:38:56;;7
Wagner Montes;Levantamento aponta que RJ teve média de 14 tiroteios por dia em 2017 https://t.co/A6MblqRxWz O bagulho está doido!;2017/07/11 19:50:08;;7
Waldeck Carneiro;A votação do teto de gastos hoje na ALERJ: Deputado Waldeck tenta salvar investimentos na área social. https://t.co/OV6NojnU0S;2017/06/29 19:39:11;;7
Marcelo Calero;"P/ completar o dia, Min. d Fazenda recomenda ""revisão de oferta de ensino superior"" no RJ.  Fechamento da Uerj?Prefiro crer q enlouqueceram.";2017/09/05 22:30:02;;7
Wagner Montes;Galera, o CVV presta serviço voluntário e gratuito de apoio emocional e prevenção do suicídio para todas as pessoas que querem e precisam conversar, sob total sigilo através do número 188. https://t.co/UV9iZS5ypN;2018/03/12 18:11:27;;7
Andreia Zito;Emoção total pra mim que através de muito esforço pude junto com aqueles que amam a nossa cidade trazer o Colégio Pedro II;2011/12/19 15:46:30;;7
Gustavo Tutuca;http://t.co/cOSxlQm7tQ;2014/05/28 17:36:23;;7
Indio da Costa;Indio comenta questão sobre combate à corrupção #debateGloboRio #Indio55 #ReciclaRio;2016/09/30 03:10:41;;7
Humberto Adami;"DONATIVO SOLIDARIO

“¿Por qué no hay negros en la selección argentina?”: El crudo relato de un canadiense que se volvió viral

Comparte en redes sociales:

Por Bárbara Simeoni- Agencias
Lunes, 25/06/2018 07:47 PM

￼

Sin... https://t.co/NwNceOexhc";2018/07/04 13:33:05;;7
Aspásia Camargo;Amigos, estas praias estão 100% impróprias desde o ano passado. Não se arrisquem! http://t.co/Mgdu6XPFs1;2013/04/27 17:15:03;;7
Wagner Montes;O Estado não está cumprindo o calendário proposto, além de muitas vezes está até parcelando o pagamento do salário dos servidores. Como já disse por aqui e não canso de dizer: o servidor não pode pagar a conta pelo Estado! https://t.co/snFTCWCptx;2018/03/06 18:43:23;;7
Waldeck Carneiro;Eu publiquei uma nova foto no Facebook https://t.co/Ve40hrdoXP;2015/11/24 00:56:45;;7
Flordelis;🔴⚫️ Dá lhe Flamengo 🔴⚫️ https://t.co/HBzM6ILAAh;2017/11/24 04:01:10;;7
Martha Rocha;Reportagem da Rádio CBN a respeito da visita realizada pela CPI das Armas ao Setor de Controle de Armamentos da... https://t.co/pAxnY6Sr9x;2015/12/03 16:15:03;;7
Daniela do Waguinho;(...) Espalhe, compartilhe, fale com seus vizinhos, com seus amigos. Belford Roxo precisa de uma representante que põe a mão na massa em Brasília. Meu número é 1545.  #DanielaDoWaguinhoFederal #JuntosPelaBaixada  #MarcioCanellaEstadual;2018/08/17 23:28:28;;7
isaquedonascimento;Alguém me empresta uma Netflix? só pra mim ver um filme nmrl;2017/07/13 19:11:59;;7
Márcio Pacheco;Inclusão pela Arte, na @alerj. #DiadaPcD http://t.co/C34JVgxIJR;2015/09/21 18:37:24;;7
Christino Áureo;"Saiu na imprensa

https://t.co/n2SqbbCF3v https://t.co/DCYJb06yUW";2016/05/31 14:03:07;;7
David Miranda;"Hoje, há 13 anos, a polícia britânica assassinou nosso compatriota Jean Charles de Menezes, em Londres, porque ele ""parecia"" um terrorista. Depois eles mentiram. Ninguém pagou por isso. Eu conheço o autoritarismo do governo britânico. Nós não vamos esquecer! #JeanCharlesPresente https://t.co/N05MC3qTQz";2018/07/22 17:51:32;;7
Gustavo Tutuca;Estou em Sapucaia almoçando;2010/07/19 17:31:07;;7
Arolde de Oliveira;Importante conferir https://t.co/4icP1LBzh3;2017/10/31 19:27:14;;7
malta junior;@fogonopeonline Belê!!;2010/11/21 02:06:41;;7
Alair Corrêa;@renata_litoral A intenção da mensagem não foi de julga-lá mas sim de alerta-la quanto a extensão da sentença dada  parcialmente por você.;2012/01/12 17:21:25;;7